"","Cast.Ballot","Represented","Close.To.Party","Contacted","log.Magnitude","Age","Age.Squared.by.100","Male","Education","Married","Union.Member","Household.Income","Rural","Small.Town","Suburb","White.Collar","Worker","Hakka","MinNan","Mainlander"
"60126",1,0,0,1,1.79175946922805,25,6.25,1,7,0,0,1,1,0,0,NA,NA,0,1,0
"60127",1,0,1,1,2.19722457733622,43,18.49,0,3,1,0,1,0,0,1,NA,NA,0,1,0
"60128",1,1,1,1,2.39789527279837,46,21.16,0,5,1,0,5,1,0,0,1,0,0,1,0
"60129",1,0,0,0,2.19722457733622,73,53.29,1,3,0,0,4,0,0,1,0,1,0,0,1
"60130",1,0,0,1,2.39789527279837,46,21.16,1,3,1,0,2,1,0,0,0,1,0,1,0
"60131",1,1,1,1,2.39789527279837,67,44.89,1,6,1,1,5,1,0,0,1,0,0,0,1
"60132",1,1,1,1,2.39789527279837,49,24.01,0,3,1,0,1,1,0,0,NA,NA,0,1,0
"60133",1,0,1,1,2.30258509299405,41,16.81,1,8,1,0,5,0,0,0,1,0,0,1,0
"60134",1,0,1,1,1.70474809223843,82,67.24,0,1,1,0,NA,0,0,0,NA,NA,0,0,1
"60135",1,1,0,0,1.38629436111989,43,18.49,1,2,1,1,2,1,0,0,0,1,0,1,0
"60136",1,1,1,1,0,36,12.96,1,7,1,0,3,0,0,1,1,0,0,0,0
"60137",1,1,0,0,1.38629436111989,35,12.25,1,8,1,0,5,0,0,1,1,0,0,1,0
"60138",0,1,1,1,2.39789527279837,37,13.69,1,6,1,0,NA,1,0,0,0,1,0,1,0
"60139",1,0,0,1,2.19722457733622,37,13.69,1,6,1,0,2,0,0,1,0,1,0,1,0
"60140",1,0,0,1,1.38629436111989,64,40.96,1,1,1,1,1,1,0,0,1,0,0,1,0
"60141",1,NA,0,NA,1.79175946922805,34,11.56,0,6,1,1,NA,1,0,0,1,0,0,1,0
"60142",1,1,1,1,2.30258509299405,78,60.84,1,8,1,1,3,0,0,0,NA,NA,0,0,1
"60143",1,1,1,0,2.30258509299405,45,20.25,0,7,1,0,2,0,0,0,1,0,0,1,0
"60144",1,0,1,1,2.19722457733622,27,7.29,1,5,0,0,4,0,0,1,0,1,0,1,0
"60145",1,0,1,1,1.09861228866811,29,8.41,1,8,1,0,5,0,0,1,1,0,0,1,0
"60146",1,1,1,0,2.19722457733622,72,51.84,1,1,1,0,2,0,0,1,NA,NA,0,0,1
"60147",1,1,0,1,2.19722457733622,51,26.01,0,6,1,0,4,0,0,1,NA,NA,0,1,0
"60148",0,1,1,0,1.70474809223843,22,4.84,0,7,0,NA,5,0,0,0,NA,NA,0,1,0
"60149",1,1,0,1,2.19722457733622,45,20.25,1,6,1,0,2,0,0,1,1,0,0,0,1
"60150",1,NA,NA,1,0.693147180559945,37,13.69,0,6,0,0,NA,0,0,1,NA,NA,0,1,0
"60151",0,0,1,1,2.19722457733622,28,7.84,1,8,0,0,4,0,0,1,1,0,0,1,0
"60152",1,NA,0,1,2.19722457733622,36,12.96,0,6,1,0,2,0,0,1,NA,NA,1,0,0
"60153",1,NA,0,1,1.70474809223843,25,6.25,0,6,1,1,NA,0,0,0,1,0,0,1,0
"60154",0,0,0,1,0.693147180559945,22,4.84,1,6,0,0,1,0,0,1,1,0,0,1,0
"60155",1,0,0,1,0.693147180559945,43,18.49,1,6,1,0,2,0,0,1,1,0,0,0,0
"60156",1,0,0,1,0,42,17.64,1,6,1,0,3,0,0,1,1,0,0,1,0
"60157",1,0,0,1,1.94591014905531,32,10.24,0,8,1,0,4,0,0,1,1,0,0,1,0
"60158",1,NA,1,1,2.56494935746154,33,10.89,1,6,0,0,5,0,0,1,1,0,0,0,1
"60159",1,0,0,1,1.79175946922805,44,19.36,1,3,1,0,NA,1,0,0,0,1,0,1,0
"60160",0,1,1,0,2.56494935746154,24,5.76,1,7,0,0,5,0,0,1,NA,NA,0,1,0
"60161",0,1,1,1,1.94591014905531,44,19.36,1,6,1,1,2,0,0,1,1,0,0,1,0
"60162",0,0,0,0,1.94591014905531,29,8.41,0,6,1,0,3,0,0,1,NA,NA,0,1,0
"60163",1,1,1,1,1.94591014905531,57,32.49,0,6,1,1,5,0,0,1,1,0,0,1,0
"60164",1,1,1,1,2.30258509299405,47,22.09,0,6,1,1,2,0,0,0,1,0,0,0,1
"60165",1,0,1,1,2.19722457733622,21,4.41,1,6,0,0,2,0,1,0,NA,NA,0,1,0
